metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
mapr.fs.reads,gauge,,,,The number of remote reads.,0,mapr,
mapr.fs.writes,gauge,,,,The number of remote writes.,0,mapr,
mapr.fs.read_bytes,gauge,,mebibyte,,The amount of data read remotely in MB.,0,mapr,
mapr.fs.bulk_writes,gauge,,,,The number of bulk-write operations. Bulk-write operations occur when the MapR Filesystem container master aggregates multiple small file writes from one or more clients into one big RPC before replicating the writes.,0,mapr,
mapr.fs.local_reads,gauge,,,,The number of file read operations by applications that are running on the MapR Filesystem node where the data resides.,0,mapr,
mapr.fs.write_bytes,gauge,,mebibyte,,The amount of data written remotely in MB.,0,mapr,
mapr.fs.kvstore_scan,gauge,,,,The number of scan operations on key-value store files which are used by the CLDB and MapR Database.,0,mapr,
mapr.fs.local_readbytes,gauge,,,,The number of bytes read by applications that are running on the MapR Filesystem node where the data resides.,0,mapr,
mapr.fs.local_writes,gauge,,,,The number of file write operations by applications that are running on the MapR Filesystem node where the data resides.,0,mapr,
mapr.fs.kvstore_delete,gauge,,,,The number of delete operations on key-value store files which are used by the CLDB and MapR Database.,0,mapr,
mapr.fs.kvstore_insert,gauge,,,,The number of insert operations on key-value store files which are used by the CLDB and MapR Database.,0,mapr,
mapr.fs.kvstore_lookup,gauge,,,,The number of lookup operations on key-value store files which are used by the CLDB and MapR Database.,0,mapr,
mapr.fs.read_cachehits,gauge,,,,The number of cache hits for file reads. This value includes pages that MapR Filesystem populates using readahead mechanism.,0,mapr,
mapr.fs.statstype_read,gauge,,,,The number of file read operations.,0,mapr,
mapr.fs.bulk_writesbytes,gauge,,,,The number of bytes written by bulk-write operations. Bulk-write operations occur when the MapR Filesystem container master aggregates multiple small file writes from one or more clients into one big RPC before replicating the writes.,0,mapr,
mapr.fs.read_cachemisses,gauge,,,,The number of cache misses for file read operations.,0,mapr,
mapr.fs.statstype_create,gauge,,,,The number of file create operations.,0,mapr,
mapr.fs.statstype_lookup,gauge,,,,The number of lookup operations.,0,mapr,
mapr.fs.statstype_write,gauge,,,,The number of file write operations.,0,mapr,
mapr.fs.local_writebytes,gauge,,,,The number of bytes written by applications that are running on the MapR Filesystem node where the data resides.,0,mapr,
mapr.cache.misses_dir,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.lookups_dir,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.misses_data,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.misses_meta,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.lookups_data,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.lookups_meta,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.misses_inode,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.misses_table,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.lookups_inode,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.lookups_table,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.misses_largefile,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.misses_smallfile,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.lookups_largefile,gauge,,,,DESCRIPTION,0,mapr,
mapr.cache.lookups_smallfile,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.flushes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.get_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.seg_gets,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.get_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.ldb_reads,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.put_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.resv_free,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.scan_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.seg_scans,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.scan_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.segflushes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.spill_gets,gauge,,,,DESCRIPTION,0,mapr,
